date,avg_price,open_price,max_price,min_prie,close_price,last_price,coef,lsp,change,buys,sells,deals,number,volume,currency,ISIN
2021-10-21,3.50009466,3.65,3.65,3.35,,3.49,1,3.49,,3.49,3.49,8546.0,3351831.0,11731725.7805,EUR,EE3100137985
2021-10-22,3.4966845,3.55,3.55,3.459,3.49,3.48,1,3.48,-0.29,3.48,3.48,3670.0,874875.0,3059161.8525,EUR,EE3100137985
2021-10-25,3.41435648,3.49,3.49,3.36,3.48,3.41,1,3.41,-2.01,3.41,3.41,2731.0,664296.0,2268143.355,EUR,EE3100137985
2021-10-26,3.38747333,3.4,3.415,3.37,3.41,3.39,1,3.39,-0.59,3.39,3.39,1206.0,294299.0,996930.015,EUR,EE3100137985
2021-10-27,3.33743707,3.38,3.385,3.305,3.39,3.315,1,3.315,-2.21,3.315,3.315,1598.0,419459.0,1399918.015,EUR,EE3100137985
2021-10-28,3.31752385,3.3,3.415,3.255,3.315,3.415,1,3.415,3.02,3.415,3.415,1588.0,451920.0,1499255.38,EUR,EE3100137985
2021-10-29,3.41050347,3.42,3.445,3.365,3.415,3.385,1,3.385,-0.88,3.385,3.385,904.0,193873.0,661204.54,EUR,EE3100137985
2021-11-01,3.39153052,3.39,3.405,3.37,3.385,3.4,1,3.4,0.44,3.4,3.4,780.0,155150.0,526195.96,EUR,EE3100137985
2021-11-02,3.42019988,3.41,3.45,3.4,3.4,3.45,1,3.45,1.47,3.45,3.45,909.0,243344.0,832285.12,EUR,EE3100137985
2021-11-03,3.49166117,3.46,3.53,3.455,3.45,3.52,1,3.52,2.03,3.52,3.52,1143.0,278458.0,972280.985,EUR,EE3100137985
2021-11-04,3.60362885,3.535,3.69,3.535,3.52,3.69,1,3.69,4.83,3.69,3.69,1568.0,357834.0,1289500.925,EUR,EE3100137985
2021-11-05,3.79964473,3.81,3.89,3.73,3.69,3.74,1,3.74,1.36,3.74,3.74,2525.0,692999.0,2633149.995,EUR,EE3100137985
2021-11-08,3.73511304,3.76,3.79,3.7,3.74,3.74,1,3.74,,3.74,3.74,1462.0,307069.0,1146937.425,EUR,EE3100137985
2021-11-09,3.76378897,3.75,3.78,3.74,3.74,3.765,1,3.765,0.67,3.765,3.765,884.0,173674.0,653672.285,EUR,EE3100137985
2021-11-10,3.77013681,3.78,3.8,3.74,3.765,3.785,1,3.785,0.53,3.785,3.785,819.0,153355.0,578169.33,EUR,EE3100137985
2021-11-11,3.80949858,3.795,3.825,3.79,3.785,3.81,1,3.81,0.66,3.81,3.81,890.0,184724.0,703705.815,EUR,EE3100137985
2021-11-12,3.88520112,3.825,3.96,3.82,3.81,3.91,1,3.91,2.62,3.91,3.91,1206.0,430256.0,1671631.095,EUR,EE3100137985
2021-11-15,4.04362067,3.96,4.1,3.96,3.91,4.07,1,4.07,4.09,4.07,4.07,2300.0,495272.0,2002692.095,EUR,EE3100137985
2021-11-16,4.22295494,4.15,4.26,4.14,4.07,4.25,1,4.25,4.42,4.25,4.25,2721.0,632005.0,2668928.635,EUR,EE3100137985
2021-11-17,4.43177079,4.38,4.58,4.25,4.25,4.49,1,4.49,5.65,4.49,4.49,3680.0,946255.0,4193585.27,EUR,EE3100137985
2021-11-18,4.44734515,4.525,4.575,4.31,4.49,4.33,1,4.33,-3.56,4.33,4.33,3023.0,643781.0,2863116.305,EUR,EE3100137985
2021-11-19,4.22051431,4.3,4.3,4.15,4.33,4.18,1,4.18,-3.46,4.18,4.18,2219.0,478062.0,2017667.51,EUR,EE3100137985
2021-11-22,4.26551043,4.195,4.365,4.185,4.18,4.25,1,4.25,1.67,4.25,4.25,1659.0,298102.0,1271557.19,EUR,EE3100137985
2021-11-23,4.24741888,4.27,4.28,4.2,4.25,4.235,1,4.235,-0.35,4.235,4.235,1063.0,181098.0,769199.065,EUR,EE3100137985
2021-11-24,4.20186234,4.22,4.25,4.15,4.235,4.18,1,4.18,-1.3,4.18,4.18,1130.0,201056.0,844809.635,EUR,EE3100137985
2021-11-25,4.18590126,4.185,4.21,4.175,4.18,4.185,1,4.185,0.12,4.185,4.185,650.0,91466.0,382867.645,EUR,EE3100137985
2021-11-26,4.12471718,4.18,4.185,4.05,4.185,4.05,1,4.05,-3.23,4.05,4.05,1631.0,252829.0,1042848.12,EUR,EE3100137985
2021-11-29,4.0693601,4.095,4.18,4.0,4.05,4.045,1,4.045,-0.12,4.045,4.045,1644.0,292155.0,1188883.9,EUR,EE3100137985
2021-11-30,3.9992869,4.05,4.06,3.96,4.045,3.98,1,3.98,-1.61,3.98,3.98,1346.0,231673.0,926526.795,EUR,EE3100137985
2021-12-01,3.91107942,3.98,3.98,3.88,3.98,3.885,1,3.885,-2.39,3.885,3.885,1615.0,317985.0,1243664.59,EUR,EE3100137985
2021-12-02,3.80307977,3.88,3.88,3.76,3.885,3.775,1,3.775,-2.83,3.775,3.775,1532.0,317771.0,1208508.463,EUR,EE3100137985
2021-12-03,3.87719423,3.781,3.93,3.781,3.775,3.93,1,3.93,4.11,3.93,3.93,1060.0,222031.0,860857.312,EUR,EE3100137985
2021-12-06,3.97402579,3.95,3.999,3.94,3.93,3.97,1,3.97,1.02,3.97,3.97,790.0,104543.0,415456.578,EUR,EE3100137985
2021-12-07,4.10146483,4.055,4.174,4.03,3.97,4.126,1,4.126,3.93,4.126,4.126,1168.0,285599.0,1171374.253,EUR,EE3100137985
2021-12-08,4.09868808,4.126,4.148,4.04,4.126,4.069,1,4.069,-1.38,4.069,4.069,831.0,123814.0,507474.966,EUR,EE3100137985
2021-12-09,4.02074025,4.04,4.065,3.97,4.069,4.009,1,4.009,-1.47,4.009,4.009,786.0,90599.0,364275.046,EUR,EE3100137985
2021-12-10,4.02676043,4.044,4.045,3.991,4.009,4.018,1,4.018,0.22,4.018,4.018,778.0,104600.0,421199.141,EUR,EE3100137985
2021-12-13,4.01958593,4.04,4.04,4.0,4.018,4.013,1,4.013,-0.12,4.013,4.013,702.0,103080.0,414338.918,EUR,EE3100137985
2021-12-14,3.98358565,4.004,4.01,3.965,4.013,3.965,1,3.965,-1.2,3.965,3.965,910.0,105058.0,418507.541,EUR,EE3100137985
2021-12-15,3.97093217,3.965,3.989,3.962,3.965,3.968,1,3.968,0.08,3.968,3.968,653.0,92005.0,365345.614,EUR,EE3100137985
2021-12-16,3.96813721,3.965,3.975,3.963,3.968,3.97,1,3.97,0.05,3.97,3.97,530.0,53467.0,212164.392,EUR,EE3100137985
2021-12-17,3.95214853,3.969,3.969,3.925,3.97,3.925,1,3.925,-1.13,3.925,3.925,708.0,74287.0,293593.258,EUR,EE3100137985
2021-12-20,3.85739116,3.9,3.91,3.84,3.925,3.85,1,3.85,-1.91,3.85,3.85,1046.0,176986.0,682704.232,EUR,EE3100137985
2021-12-21,3.86121739,3.86,3.87,3.851,3.85,3.86,1,3.86,0.26,3.86,3.86,552.0,119565.0,461666.457,EUR,EE3100137985
2021-12-22,3.8599204,3.859,3.879,3.85,3.86,3.878,1,3.878,0.47,3.878,3.878,516.0,59046.0,227912.86,EUR,EE3100137985
2021-12-23,3.94512147,3.87,3.99,3.86,3.878,3.99,1,3.99,2.89,3.99,3.99,722.0,106627.0,420656.467,EUR,EE3100137985
2021-12-27,4.0388778,4.07,4.07,4.0,3.99,4.027,1,4.027,0.93,4.027,4.027,783.0,108281.0,437333.727,EUR,EE3100137985
2021-12-28,4.02951182,4.049,4.049,4.011,4.027,4.016,1,4.016,-0.27,4.016,4.016,487.0,98068.0,395218.161,EUR,EE3100137985
2021-12-29,4.0233597,4.016,4.04,4.013,4.016,4.027,1,4.027,0.27,4.025,4.027,388.0,46141.0,185641.84,EUR,EE3100137985
2021-12-30,4.04024543,4.03,4.047,4.03,4.027,4.044,1,4.044,0.42,4.044,4.044,432.0,62425.0,252212.321,EUR,EE3100137985
2022-01-03,4.06024973,4.045,4.085,4.045,4.044,4.085,1,4.085,1.01,4.085,4.085,801.0,132357.0,537402.474,EUR,EE3100137985
2022-01-04,4.15115783,4.088,4.2,4.088,4.085,4.193,1,4.193,2.64,4.193,4.193,943.0,151539.0,629062.307,EUR,EE3100137985
2022-01-05,4.21205633,4.205,4.232,4.196,4.193,4.215,1,4.215,0.52,4.215,4.215,872.0,148207.0,624256.233,EUR,EE3100137985
2022-01-06,4.14549715,4.215,4.215,4.102,4.215,4.164,1,4.164,-1.21,4.164,4.164,1028.0,157927.0,654685.929,EUR,EE3100137985
2022-01-07,4.17997652,4.163,4.199,4.161,4.164,4.184,1,4.184,0.48,4.184,4.184,642.0,94712.0,395893.936,EUR,EE3100137985
2022-01-10,4.19148578,4.197,4.205,4.176,4.184,4.176,1,4.176,-0.19,4.178,4.184,863.0,153562.0,643652.939,EUR,EE3100137985
2022-01-11,4.14434732,4.17,4.17,4.13,4.176,4.13,1,4.13,-1.1,4.13,4.13,768.0,103207.0,427725.654,EUR,EE3100137985
2022-01-12,4.1824515,4.135,4.197,4.134,4.13,4.19,1,4.19,1.45,4.19,4.19,565.0,79261.0,331505.288,EUR,EE3100137985
2022-01-13,4.25375199,4.2,4.325,4.195,4.19,4.267,1,4.267,1.84,4.267,4.267,1092.0,297361.0,1264899.945,EUR,EE3100137985
2022-01-14,4.25779685,4.28,4.295,4.221,4.267,4.241,1,4.241,-0.61,4.241,4.241,799.0,294818.0,1255275.151,EUR,EE3100137985
2022-01-17,4.2430557,4.25,4.274,4.225,4.241,4.233,1,4.233,-0.19,4.23,4.233,694.0,116510.0,494358.42,EUR,EE3100137985
2022-01-18,4.17968903,4.224,4.269,4.136,4.233,4.137,1,4.137,-2.27,4.137,4.137,1007.0,186166.0,778115.988,EUR,EE3100137985
2022-01-19,4.06686706,4.1,4.11,4.05,4.137,4.06,1,4.06,-1.86,4.06,4.06,1271.0,226997.0,923166.623,EUR,EE3100137985
2022-01-20,4.05245681,4.046,4.089,4.03,4.06,4.054,1,4.054,-0.15,4.054,4.054,839.0,133757.0,542044.465,EUR,EE3100137985
2022-01-21,3.95013714,4.05,4.05,3.851,4.054,3.898,1,3.898,-3.85,3.898,3.898,2393.0,387607.0,1531100.806,EUR,EE3100137985
2022-01-24,3.74313102,3.845,3.845,3.651,3.898,3.651,1,3.651,-6.34,3.651,3.651,4021.0,648407.0,2427072.354,EUR,EE3100137985
2022-01-25,3.78762283,3.65,3.89,3.65,3.651,3.819,1,3.819,4.6,3.819,3.819,2481.0,480531.0,1820070.187,EUR,EE3100137985
2022-01-26,3.89842613,3.852,3.945,3.852,3.819,3.89,1,3.89,1.86,3.89,3.89,1111.0,285870.0,1114443.079,EUR,EE3100137985
2022-01-27,3.80656956,3.85,3.85,3.765,3.89,3.83,1,3.83,-1.54,3.83,3.83,1360.0,216497.0,824110.89,EUR,EE3100137985
2022-01-28,3.86889167,3.86,3.93,3.841,3.83,3.849,1,3.849,0.5,3.849,3.849,797.0,134286.0,519537.987,EUR,EE3100137985
2022-01-31,3.90837041,3.951,3.96,3.87,3.849,3.894,1,3.894,1.17,3.894,3.894,886.0,123334.0,482034.956,EUR,EE3100137985
2022-02-01,3.95256543,3.94,3.989,3.921,3.894,3.989,1,3.989,2.44,3.989,3.989,762.0,129037.0,510027.186,EUR,EE3100137985
2022-02-02,4.01410029,4.022,4.089,3.98,3.989,3.99,1,3.99,0.03,3.99,3.99,863.0,138342.0,555318.663,EUR,EE3100137985
2022-02-03,3.96947181,4.01,4.01,3.921,3.99,3.96,1,3.96,-0.75,3.96,3.96,658.0,48238.0,191479.381,EUR,EE3100137985
2022-02-04,3.90368218,3.921,3.945,3.872,3.96,3.895,1,3.895,-1.64,3.895,3.895,966.0,171954.0,671253.766,EUR,EE3100137985
2022-02-07,3.9336974,3.97,3.98,3.92,3.895,3.93,1,3.93,0.9,3.93,3.93,781.0,139811.0,549974.167,EUR,EE3100137985
2022-02-08,3.90659569,3.93,3.939,3.892,3.93,3.898,1,3.898,-0.81,3.898,3.898,888.0,118300.0,462150.27,EUR,EE3100137985
2022-02-09,3.93214173,3.929,3.96,3.91,3.898,3.96,1,3.96,1.59,3.96,3.96,914.0,221224.0,869777.035,EUR,EE3100137985
2022-02-10,3.95572259,3.982,3.985,3.925,3.96,3.939,1,3.939,-0.53,3.939,3.939,640.0,70339.0,278241.571,EUR,EE3100137985
2022-02-11,3.88719675,3.929,3.929,3.85,3.939,3.886,1,3.886,-1.35,3.886,3.886,1434.0,181515.0,705584.518,EUR,EE3100137985
2022-02-14,3.78113841,3.8,3.801,3.76,3.886,3.78,1,3.78,-2.73,3.78,3.78,1742.0,252686.0,955440.062,EUR,EE3100137985
2022-02-15,3.84141082,3.789,3.87,3.787,3.78,3.859,1,3.859,2.09,3.859,3.859,887.0,141141.0,542180.565,EUR,EE3100137985
2022-02-16,3.89956808,3.895,3.926,3.871,3.859,3.89,1,3.89,0.8,3.89,3.89,672.0,42925.0,167388.96,EUR,EE3100137985
2022-02-17,3.83486714,3.89,3.89,3.804,3.89,3.81,1,3.81,-2.06,3.81,3.81,896.0,65219.0,250106.2,EUR,EE3100137985
2022-02-18,3.76319689,3.798,3.798,3.746,3.81,3.749,1,3.749,-1.6,3.749,3.749,1728.0,286491.0,1078122.041,EUR,EE3100137985
2022-02-21,3.67872888,3.72,3.728,3.66,3.749,3.663,1,3.663,-2.29,3.663,3.663,2175.0,295213.0,1086008.59,EUR,EE3100137985
2022-02-22,3.58568087,3.598,3.649,3.5,3.663,3.619,1,3.619,-1.2,3.619,3.619,2624.0,397310.0,1424626.868,EUR,EE3100137985
2022-02-23,3.66464309,3.625,3.72,3.625,3.619,3.644,1,3.644,0.69,3.644,3.644,1319.0,300461.0,1101082.326,EUR,EE3100137985
2022-02-24,,3.644,,,3.644,3.644,1,3.644,,,,,,,EUR,EE3100137985
2022-02-25,3.56523706,3.5,3.628,3.46,3.644,3.628,1,3.628,-0.44,3.628,3.628,2043.0,392690.0,1400032.942,EUR,EE3100137985
2022-02-28,3.7328297,3.645,3.815,3.645,3.628,3.745,1,3.745,3.22,3.745,3.745,1332.0,252471.0,942431.248,EUR,EE3100137985
2022-03-01,3.78700851,3.82,3.888,3.701,3.745,3.72,1,3.72,-0.67,3.72,3.72,1044.0,153774.0,582343.447,EUR,EE3100137985
2022-03-02,3.66771358,3.68,3.699,3.652,3.72,3.662,1,3.662,-1.56,3.662,3.662,877.0,118759.0,435573.997,EUR,EE3100137985
2022-03-03,3.70526754,3.675,3.747,3.675,3.662,3.7,1,3.7,1.04,3.7,3.7,585.0,93262.0,345537.226,EUR,EE3100137985
2022-03-04,3.59879612,3.67,3.678,3.53,3.7,3.55,1,3.55,-4.05,3.55,3.55,1674.0,260973.0,939188.62,EUR,EE3100137985
2022-03-07,3.43009001,3.55,3.55,3.37,3.55,3.396,1,3.396,-4.34,3.396,3.396,2913.0,546566.0,1874770.579,EUR,EE3100137985
2022-03-08,3.46945703,3.39,3.55,3.334,3.396,3.52,1,3.52,3.65,3.52,3.52,1669.0,282355.0,979618.54,EUR,EE3100137985
2022-03-09,3.6878454,3.64,3.725,3.64,3.52,3.682,1,3.682,4.6,3.682,3.682,822.0,138839.0,512016.768,EUR,EE3100137985
2022-03-10,3.72275193,3.8,3.85,3.682,3.682,3.697,1,3.697,0.41,3.697,3.697,1223.0,258743.0,963236.002,EUR,EE3100137985
2022-03-11,3.66579393,3.684,3.7,3.64,3.697,3.679,1,3.679,-0.49,3.679,3.679,1029.0,187807.0,688461.761,EUR,EE3100137985
2022-03-14,3.67475543,3.71,3.714,3.642,3.679,3.678,1,3.678,-0.03,3.678,3.678,763.0,111590.0,410065.958,EUR,EE3100137985
2022-03-15,3.69097307,3.67,3.71,3.651,3.678,3.699,1,3.699,0.57,3.699,3.699,690.0,90163.0,332789.205,EUR,EE3100137985
2022-03-16,3.75449081,3.738,3.77,3.738,3.699,3.751,1,3.751,1.41,3.751,3.751,615.0,123881.0,465110.076,EUR,EE3100137985
2022-03-17,3.79384758,3.8,3.82,3.765,3.751,3.774,1,3.774,0.61,3.774,3.774,483.0,65206.0,247381.625,EUR,EE3100137985
2022-03-18,3.77589947,3.79,3.795,3.755,3.774,3.777,1,3.777,0.08,3.777,3.777,526.0,42168.0,159222.129,EUR,EE3100137985
2022-03-21,3.7993902,3.777,3.819,3.772,3.777,3.785,1,3.785,0.21,3.785,3.785,598.0,78868.0,299650.306,EUR,EE3100137985
2022-03-22,3.79758287,3.78,3.809,3.78,3.785,3.805,1,3.805,0.53,3.805,3.805,377.0,74216.0,281841.41,EUR,EE3100137985
2022-03-23,3.80716095,3.807,3.825,3.79,3.805,3.8,1,3.8,-0.13,3.8,3.8,452.0,61820.0,235358.69,EUR,EE3100137985
2022-03-24,3.77699671,3.78,3.809,3.744,3.8,3.799,1,3.799,-0.03,3.799,3.799,589.0,124517.0,470300.299,EUR,EE3100137985
2022-03-25,3.7967632,3.801,3.809,3.785,3.799,3.799,1,3.799,,3.799,3.799,452.0,41659.0,158169.358,EUR,EE3100137985
2022-03-28,3.80420338,3.8,3.818,3.795,3.799,3.8,1,3.8,0.03,3.8,3.8,732.0,72240.0,274815.652,EUR,EE3100137985
